SCODE,CCODE,COUNTRY,YEAR,IND,INTIND,INTVIOL,INTWAR,CIVVIOL,CIVWAR,ETHVIOL,ETHWAR,INTTOT,CIVTOT,ACTOTAL,nBORDER,TOTINT,TOTCIV,TOTALAC,nINT,nCIV,nAC,REGION,nREGION,REGINT,REGCIV,REGAC,nRINT,nRCIV,nRAC,NCIVLIST,NINTLIST,NACLIST
AFG,700,Afghanistan,1946,1,0,0,0,0,0,0,0,0,0,0,3,0,8,8,0,2,2,6,4,0,8,8,0,2,2,,,"CHN,IRN"
AFG,700,Afghanistan,1947,1,0,0,0,0,0,0,0,0,0,0,4,1,19,20,1,3,3,6,5,1,19,20,1,3,3,,,"CHN,IRN,PKS"
AFG,700,Afghanistan,1948,1,0,0,0,0,0,0,0,0,0,0,4,0,14,14,0,2,2,6,7,0,18,18,0,3,3,,,"CHN,PKS"
AFG,700,Afghanistan,1949,1,0,0,0,0,0,0,0,0,0,0,4,0,8,8,0,2,2,6,9,0,14,14,0,4,4,,,"CHN,PKS"
AFG,700,Afghanistan,1950,1,0,0,0,0,0,0,0,0,0,0,4,6,10,16,1,1,1,6,9,10,14,24,2,2,2,,,CHN
AFG,700,Afghanistan,1951,1,0,0,0,0,0,0,0,0,0,0,4,4,4,8,1,1,1,6,9,8,8,16,2,2,2,,,CHN
AFG,700,Afghanistan,1952,1,0,0,0,0,0,0,0,0,0,0,4,4,0,4,1,0,1,6,9,6,6,12,2,2,3,,,CHN
AFG,700,Afghanistan,1953,1,0,0,0,0,0,0,0,0,0,0,4,4,1,5,1,1,2,6,9,6,7,13,2,3,4,,,"CHN,IRN"
AFG,700,Afghanistan,1954,1,0,0,0,0,0,0,0,0,0,0,4,3,0,3,1,0,1,6,9,3,6,9,1,2,3,,,CHN
AFG,700,Afghanistan,1955,1,0,0,0,0,0,0,0,0,0,0,4,3,0,3,1,0,1,6,9,3,6,9,1,2,3,,CHN,
AFG,700,Afghanistan,1956,1,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,1,1,6,9,0,10,10,0,3,3,CHN,,
AFG,700,Afghanistan,1957,1,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,1,1,6,9,0,10,10,0,3,3,CHN,,
AFG,700,Afghanistan,1958,1,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,1,1,6,9,0,10,10,0,3,3,CHN,,
AFG,700,Afghanistan,1959,1,0,0,0,0,0,0,0,0,0,0,4,0,6,6,0,1,1,6,9,0,12,12,0,3,3,CHN,,
AFG,700,Afghanistan,1960,1,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,1,1,6,9,0,10,10,0,3,3,CHN,,
AFG,700,Afghanistan,1961,1,0,0,0,0,0,0,0,0,0,0,4,0,5,5,0,2,2,6,9,0,11,11,0,4,4,"CHN,PKS",,
AFG,700,Afghanistan,1962,1,0,0,0,0,0,0,0,0,0,0,4,1,5,6,1,2,2,6,9,2,11,13,2,4,4,"CHN,PKS",CHN,
AFG,700,Afghanistan,1963,1,0,0,0,0,0,0,0,0,0,0,4,0,5,5,0,2,2,6,9,0,11,11,0,4,4,"CHN,IRN",,
AFG,700,Afghanistan,1964,1,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,1,1,6,9,0,10,10,0,3,3,CHN,,
AFG,700,Afghanistan,1965,1,0,0,0,0,0,0,0,0,0,0,4,3,4,7,1,1,2,6,9,6,10,16,2,3,4,CHN,PKS,
AFG,700,Afghanistan,1966,1,0,0,0,0,0,0,0,0,0,0,4,0,9,9,0,1,1,6,9,0,15,15,0,3,3,CHN,,
AFG,700,Afghanistan,1967,1,0,0,0,0,0,0,0,0,0,0,4,0,9,9,0,1,1,6,9,0,15,15,0,3,3,CHN,,
AFG,700,Afghanistan,1968,1,0,0,0,0,0,0,0,0,0,0,4,0,5,5,0,1,1,6,9,0,12,12,0,3,3,CHN,,
AFG,700,Afghanistan,1969,1,0,0,0,0,0,0,0,0,0,0,4,2,5,7,2,1,2,6,9,1,12,13,1,3,3,CHN,"CHN,USR",
AFG,700,Afghanistan,1970,1,0,0,0,0,0,0,0,0,0,0,4,0,5,5,0,1,1,6,9,0,12,12,0,3,3,CHN,,
AFG,700,Afghanistan,1971,1,0,0,0,0,0,0,0,0,0,0,3,0,5,5,0,1,1,6,9,6,20,26,2,5,5,CHN,,
AFG,700,Afghanistan,1972,1,0,0,0,0,0,0,0,0,0,0,4,0,5,5,0,1,1,6,10,0,12,12,0,3,3,CHN,,
AFG,700,Afghanistan,1973,1,0,0,0,0,0,0,0,0,0,0,4,0,7,7,0,2,2,6,10,0,14,14,0,4,4,"CHN,PAK",,
AFG,700,Afghanistan,1974,1,0,0,0,0,0,0,0,0,0,0,4,1,7,8,1,2,3,6,10,1,14,15,1,4,5,"CHN,PAK",IRN,
AFG,700,Afghanistan,1975,1,0,0,0,0,0,0,0,0,0,0,4,1,7,8,1,2,3,6,10,1,16,17,1,5,6,"CHN,PAK",IRN,
AFG,700,Afghanistan,1976,1,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,1,1,6,10,0,11,11,0,4,4,PAK,,
AFG,700,Afghanistan,1977,1,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,1,1,6,10,0,11,11,0,4,4,PAK,,
AFG,700,Afghanistan,1978,1,0,0,0,0,7,0,0,0,7,7,4,0,4,4,0,1,1,6,10,0,20,20,0,5,5,IRN,,
AFG,700,Afghanistan,1979,1,0,0,0,0,7,0,0,0,7,7,4,4,7,11,1,1,2,6,10,4,23,27,1,5,6,IRN,CHN,
AFG,700,Afghanistan,1980,1,0,0,0,0,7,0,0,0,7,7,4,9,9,18,2,2,3,6,10,6,25,31,1,6,6,"CHN,IRN","IRN,USR",
AFG,700,Afghanistan,1981,1,0,0,0,0,7,0,0,0,7,7,4,9,9,18,2,2,3,6,10,6,25,31,1,6,6,"CHN,IRN","IRN,USR",
AFG,700,Afghanistan,1982,1,0,0,0,0,7,0,0,0,7,7,4,9,9,18,2,2,3,6,10,6,25,31,1,6,6,"CHN,IRN","IRN,USR",
AFG,700,Afghanistan,1983,1,0,0,0,0,7,0,0,0,7,7,4,9,12,21,2,3,4,6,10,6,37,43,1,8,8,"CHN,IRN,PAK","IRN,USR",
AFG,700,Afghanistan,1984,1,0,0,0,0,7,0,0,0,7,7,4,9,12,21,2,3,4,6,10,6,35,41,1,8,8,"CHN,IRN,PAK","IRN,USR",
AFG,700,Afghanistan,1985,1,0,0,0,0,7,0,0,0,7,7,4,11,10,21,3,3,4,6,10,8,33,41,2,8,8,"CHN,IRN,PAK","CHN,IRN,USR",
AFG,700,Afghanistan,1986,1,0,0,0,0,7,0,0,0,7,7,4,11,7,18,3,3,4,6,10,8,30,38,2,8,8,"CHN,IRN,PAK","CHN,IRN,USR",
AFG,700,Afghanistan,1987,1,0,0,0,0,7,0,0,0,7,7,4,12,7,19,3,3,4,6,10,9,34,43,2,8,8,"CHN,IRN,PAK","CHN,IRN,USR",
AFG,700,Afghanistan,1988,1,0,0,0,0,7,0,0,0,7,7,4,9,7,16,2,3,4,6,10,6,35,41,1,8,8,"CHN,IRN,PAK","IRN,USR",
AFG,700,Afghanistan,1989,1,0,0,0,0,7,0,0,0,7,7,4,0,8,8,0,3,3,6,10,0,35,35,0,8,8,"CHN,IRN,PAK",,
AFG,700,Afghanistan,1990,1,0,0,0,0,7,0,0,0,7,7,4,0,10,10,0,4,4,6,10,0,38,38,0,8,8,"CHN,IRN,PAK,USR",,
AFG,700,Afghanistan,1991,1,0,0,0,0,7,0,0,0,7,7,3,0,7,7,0,3,3,6,15,0,37,37,0,9,9,"CHN,IRN,PAK",,
AFG,700,Afghanistan,1992,1,0,0,0,0,7,0,0,0,7,7,6,0,10,10,0,4,4,6,15,0,40,40,0,10,10,"CHN,IRN,PAK,TAJ",,
AFG,700,Afghanistan,1993,1,0,0,0,0,7,0,0,0,7,7,6,0,10,10,0,4,4,6,15,0,38,38,0,9,9,"CHN,IRN,PAK,TAJ",,
AFG,700,Afghanistan,1994,1,0,0,0,0,7,0,0,0,7,7,6,0,6,6,0,3,3,6,15,0,29,29,0,7,7,"CHN,PAK,TAJ",,
AFG,700,Afghanistan,1995,1,0,0,0,0,7,0,0,0,7,7,6,0,6,6,0,3,3,6,15,0,29,29,0,7,7,"CHN,PAK,TAJ",,
AFG,700,Afghanistan,1996,1,0,0,0,0,7,0,0,0,7,7,6,0,6,6,0,3,3,6,15,0,31,31,0,8,8,"CHN,PAK,TAJ",,
AFG,700,Afghanistan,1997,1,0,0,0,0,7,0,0,0,7,7,6,0,6,6,0,3,3,6,15,0,31,31,0,8,8,"CHN,PAK,TAJ",,
AFG,700,Afghanistan,1998,1,0,0,0,0,7,0,0,0,7,7,6,0,6,6,0,3,3,6,15,0,31,31,0,8,8,"CHN,PAK,TAJ",,
AFG,700,Afghanistan,1999,1,0,0,0,0,7,0,0,0,7,7,6,1,0,1,1,0,1,6,15,2,25,27,2,5,6,,PAK,
AFG,700,Afghanistan,2000,1,0,0,0,0,7,0,0,0,7,7,6,0,0,0,0,0,0,6,15,0,25,25,0,5,5,,,
AFG,700,Afghanistan,2001,1,0,0,3,0,7,0,0,3,7,10,6,0,1,1,0,1,1,6,15,3,28,31,1,6,6,PAK,,
AFG,700,Afghanistan,2002,1,0,0,3,0,0,0,0,3,0,3,6,0,1,1,0,1,1,6,15,3,21,24,1,5,6,PAK,,
AFG,700,Afghanistan,2003,1,0,0,3,0,0,0,0,3,0,3,6,0,1,1,0,1,1,6,15,3,19,22,1,5,6,PAK,,
AFG,700,Afghanistan,2004,1,0,0,3,0,0,0,0,3,0,3,6,0,5,5,0,1,1,6,15,3,23,26,1,5,6,PAK,,
AFG,700,Afghanistan,2005,1,0,0,3,0,0,0,0,3,0,3,6,0,6,6,0,1,1,6,15,3,24,27,1,5,6,PAK,,
AFG,700,Afghanistan,2006,1,0,0,3,0,0,0,0,3,0,3,6,0,6,6,0,1,1,6,15,3,24,27,1,5,6,PAK,,
AFG,700,Afghanistan,2007,1,0,0,3,0,0,0,0,3,0,3,6,0,6,6,0,1,1,6,15,3,22,25,1,4,5,PAK,,
AFG,700,Afghanistan,2008,1,0,0,3,0,0,0,0,3,0,3,6,0,6,6,0,1,1,6,15,3,22,25,1,4,5,PAK,,
AFG,700,Afghanistan,2009,1,0,0,3,0,0,0,0,3,0,3,6,0,6,6,0,1,1,6,15,3,22,25,1,4,5,PAK,,
AFG,700,Afghanistan,2010,1,0,0,3,0,0,0,0,3,0,3,6,0,6,6,0,1,1,6,15,3,19,22,1,4,5,PAK,,
AFG,700,Afghanistan,2011,1,0,0,3,0,0,0,0,3,0,3,6,0,6,6,0,1,1,6,15,3,17,20,1,3,4,PAK,,
AFG,700,Afghanistan,2012,1,0,0,3,0,0,0,0,3,0,3,6,0,6,6,0,1,1,6,15,3,17,20,1,3,4,PAK,,
ALB,339,Albania,1946,1,0,0,0,0,0,0,0,0,0,0,2,0,5,5,0,1,1,0,27,2,5,7,1,1,2,,,GRC
ALB,339,Albania,1947,1,0,0,0,0,0,0,0,0,0,0,2,0,5,5,0,1,1,0,27,2,5,7,1,1,2,,,GRC
ALB,339,Albania,1948,1,0,0,0,0,0,0,0,0,0,0,2,0,5,5,0,1,1,0,27,3,5,8,2,1,3,,,GRC
ALB,339,Albania,1949,1,0,0,0,0,0,0,0,0,0,0,2,0,5,5,0,1,1,0,29,3,5,8,2,1,3,,,GRC
ALB,339,Albania,1950,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,29,6,0,6,3,0,3,,,
ALB,339,Albania,1951,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,29,6,0,6,3,0,3,,,
ALB,339,Albania,1952,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,29,6,0,6,3,0,3,,,
