"","country","govt","head_of_state","exec_legitimacy","country_code","exec_legit_short","govt_type_short"
"1","Afghanistan","republic","executive","presidency is independent of legislature","AFG","independent of legislature","republic with executive head
independent of legislature"
"2","Albania","republic","ceremonial","ministry is subject to parliamentary confidence","ALB","accountable to legislature","republic with ceremonial head
accountable to legislature"
"3","Algeria","republic","executive","presidency independent of legislature; ministry is subject to parliamentary confidence","DZA","independent of and accountable to legislature","republic with executive head
independent of and accountable to legislature"
"4","Andorra","constitutional monarchy","ceremonial","ministry is subject to parliamentary confidence","AND","accountable to legislature","constitutional monarchy with ceremonial head
accountable to legislature"
"5","Angola","republic","executive","presidency is independent of legislature","AGO","independent of legislature","republic with executive head
independent of legislature"
"6","Antigua and Barbuda","constitutional monarchy","ceremonial","ministry is subject to parliamentary confidence","ATG","accountable to legislature","constitutional monarchy with ceremonial head
accountable to legislature"
"7","Argentina","republic","executive","presidency is independent of legislature","ARG","independent of legislature","republic with executive head
independent of legislature"
"8","Armenia","republic","ceremonial","ministry is subject to parliamentary confidence","ARM","accountable to legislature","republic with ceremonial head
accountable to legislature"
"9","Australia","constitutional monarchy","ceremonial","ministry is subject to parliamentary confidence","AUS","accountable to legislature","constitutional monarchy with ceremonial head
accountable to legislature"
"10","Austria","republic","ceremonial","ministry is subject to parliamentary confidence","AUT","accountable to legislature","republic with ceremonial head
accountable to legislature"
"11","Azerbaijan","republic","executive","presidency independent of legislature; ministry is subject to parliamentary confidence","AZE","independent of and accountable to legislature","republic with executive head
independent of and accountable to legislature"
"12","Bahamas","constitutional monarchy","ceremonial","ministry is subject to parliamentary confidence","BHS","accountable to legislature","constitutional monarchy with ceremonial head
accountable to legislature"
"13","Bahrain","constitutional monarchy","executive","monarch personally exercises power in concert with other institutions","BHR","sharing power","constitutional monarchy with executive head
sharing power"
"14","Bangladesh","republic","ceremonial","ministry is subject to parliamentary confidence","BGD","accountable to legislature","republic with ceremonial head
accountable to legislature"
"15","Barbados","constitutional monarchy","ceremonial","ministry is subject to parliamentary confidence","BRB","accountable to legislature","constitutional monarchy with ceremonial head
accountable to legislature"
"16","Belarus","republic","executive","presidency is independent of legislature","BLR","independent of legislature","republic with executive head
independent of legislature"
"17","Belgium","constitutional monarchy","ceremonial","ministry is subject to parliamentary confidence","BEL","accountable to legislature","constitutional monarchy with ceremonial head
accountable to legislature"
"18","Belize","constitutional monarchy","ceremonial","ministry is subject to parliamentary confidence","BLZ","accountable to legislature","constitutional monarchy with ceremonial head
accountable to legislature"
"19","Benin","republic","executive","presidency is independent of legislature","BEN","independent of legislature","republic with executive head
independent of legislature"
"20","Bhutan","constitutional monarchy","executive","monarch personally exercises power in concert with other institutions","BTN","sharing power","constitutional monarchy with executive head
sharing power"
"21","Bolivia","republic","executive","presidency is independent of legislature","BOL","independent of legislature","republic with executive head
independent of legislature"
"22","Bosnia and Herzegovina","republic","ceremonial","ministry is subject to parliamentary confidence","BIH","accountable to legislature","republic with ceremonial head
accountable to legislature"
"23","Botswana","republic","executive","presidency is elected by legislature; ministry may be, or not be, subject to parliamentary confidence","BWA","elected by legislature","republic with executive head
elected by legislature"
"24","Brazil","republic","executive","presidency is independent of legislature","BRA","independent of legislature","republic with executive head
independent of legislature"
"25","Brunei","absolute monarchy","executive","all authority vested in absolute monarch","BRN","having absolute authority","absolute monarchy with executive head
having absolute authority"
"26","Bulgaria","republic","ceremonial","ministry is subject to parliamentary confidence","BGR","accountable to legislature","republic with ceremonial head
accountable to legislature"
"27","Burkina Faso","republic","executive","presidency independent of legislature; ministry is subject to parliamentary confidence","BFA","independent of and accountable to legislature","republic with executive head
independent of and accountable to legislature"
"28","Burundi","republic","executive","presidency is independent of legislature","BDI","independent of legislature","republic with executive head
independent of legislature"
"29","Cambodia","constitutional monarchy","ceremonial","ministry is subject to parliamentary confidence","KHM","accountable to legislature","constitutional monarchy with ceremonial head
accountable to legislature"
"30","Cameroon","republic","executive","presidency is independent of legislature","CMR","independent of legislature","republic with executive head
independent of legislature"
"31","Canada","constitutional monarchy","ceremonial","ministry is subject to parliamentary confidence","CAN","accountable to legislature","constitutional monarchy with ceremonial head
accountable to legislature"
"32","Cape Verde","republic","executive","presidency independent of legislature; ministry is subject to parliamentary confidence","CPV","independent of and accountable to legislature","republic with executive head
independent of and accountable to legislature"
"33","Central African Republic","republic","executive","presidency is independent of legislature","CAF","independent of legislature","republic with executive head
independent of legislature"
"34","Chad","republic","executive","presidency is independent of legislature","TCD","independent of legislature","republic with executive head
independent of legislature"
"35","Chile","republic","executive","presidency is independent of legislature","CHL","independent of legislature","republic with executive head
independent of legislature"
"36","China","republic","ceremonial","power constitutionally linked to a single political movement","CHN","constitutionally granted power by single party","republic with ceremonial head
constitutionally granted power by single party"
"37","Colombia","republic","executive","presidency is independent of legislature","COL","independent of legislature","republic with executive head
independent of legislature"
"38","Comoros","republic","executive","presidency is independent of legislature","COM","independent of legislature","republic with executive head
independent of legislature"
"39","Democratic Republic of Congo","republic","executive","presidency independent of legislature; ministry is subject to parliamentary confidence","COD","independent of and accountable to legislature","republic with executive head
independent of and accountable to legislature"
"40","Congo","republic","executive","presidency independent of legislature; ministry is subject to parliamentary confidence","COG","independent of and accountable to legislature","republic with executive head
independent of and accountable to legislature"
"41","Costa Rica","republic","executive","presidency is independent of legislature","CRI","independent of legislature","republic with executive head
independent of legislature"
"42","Cote d'Ivoire","republic","executive","presidency is independent of legislature","CIV","independent of legislature","republic with executive head
independent of legislature"
"43","Croatia","republic","ceremonial","ministry is subject to parliamentary confidence","HRV","accountable to legislature","republic with ceremonial head
accountable to legislature"
"44","Cuba","republic","executive","power constitutionally linked to a single political movement","CUB","constitutionally granted power by single party","republic with executive head
constitutionally granted power by single party"
"45","Cyprus","republic","executive","presidency is independent of legislature","CYP","independent of legislature","republic with executive head
independent of legislature"
